UDI,Product ID,Type,air_temp,process_temp,rpm,torque,wear,failure,TWF,HDF,PWF,OSF,RNF,health_score,p_fail_composite,risk_OSF,risk_HDF,risk_PWF,risk_TWF,risk_RNF_baseline,osf_ratio_to_threshold,dominant_mode,dominant_mode_normalized_score
1829,L49008,L,297.8,307.2,1351,56.3,174,0,0,0,0,0,0,5.8,0.9417,0.781,0.733,0.0,0.0,0.001,0.891,OSF/HDF,0.781
1830,L49009,L,297.8,307.2,1880,23.0,176,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.368,none,0.0
1831,L49010,L,297.8,307.3,1859,24.0,178,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.388,none,0.0
1832,M16691,M,297.8,307.3,1315,54.0,180,0,0,0,0,0,0,11.4,0.8861,0.62,0.7,0.0,0.0,0.001,0.81,HDF/OSF,0.7
1833,M16692,M,297.8,307.4,1330,51.7,183,0,0,0,0,0,0,13.8,0.8619,0.577,0.667,0.0,0.02,0.001,0.788,HDF/OSF,0.667
1834,L49013,L,297.8,307.3,1327,61.0,186,1,0,0,0,1,0,0.0,1.0,1.0,0.7,0.0,0.04,0.001,1.031,OSF,1.0
1835,L49014,L,297.8,307.2,1498,38.1,188,0,0,0,0,0,0,55.7,0.4434,0.302,0.156,0.0,0.053,0.001,0.651,OSF/HDF,0.302
1836,H31249,H,297.8,307.3,1555,35.8,190,0,0,0,0,0,0,88.9,0.1109,0.046,0.0,0.0,0.067,0.001,0.523,TWF/OSF,0.167
1837,L49016,L,297.7,307.2,1518,35.8,195,0,0,0,0,0,0,62.0,0.3798,0.269,0.056,0.0,0.1,0.001,0.635,OSF/TWF,0.269
1838,L49017,L,297.7,307.2,1392,43.0,197,0,0,0,0,0,0,14.5,0.855,0.54,0.644,0.0,0.113,0.001,0.77,HDF/OSF,0.644
1839,M16698,M,297.8,307.2,1456,39.6,199,0,0,0,0,0,0,38.2,0.6177,0.313,0.362,0.0,0.127,0.001,0.657,HDF/TWF,0.362
1840,L49019,L,297.7,307.1,1715,30.2,0,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.0,none,0.0
1841,M16700,M,297.7,307.2,1405,43.7,2,0,0,0,0,0,0,41.6,0.5838,0.0,0.583,0.0,0.0,0.001,0.007,HDF,0.583
1842,L49021,L,297.7,307.2,1668,37.8,5,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.017,none,0.0
1843,H31256,H,297.7,307.1,1855,22.5,7,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.012,none,0.0
1844,L49023,L,297.6,307.1,1496,39.2,12,0,0,0,0,0,0,84.0,0.1595,0.0,0.159,0.0,0.0,0.001,0.043,HDF,0.159
1845,M16704,M,297.6,307.1,1471,44.9,14,0,0,0,0,0,0,72.4,0.2761,0.0,0.275,0.0,0.0,0.001,0.052,HDF,0.275
1846,L49025,L,297.7,307.2,1444,40.0,17,0,0,0,0,0,0,59.8,0.4019,0.0,0.401,0.0,0.0,0.001,0.062,HDF,0.401
1847,H31260,H,297.7,307.3,1514,38.6,19,0,0,0,0,0,0,92.8,0.072,0.0,0.071,0.0,0.0,0.001,0.056,HDF,0.071
1848,L49027,L,297.8,307.3,1412,50.7,24,0,0,0,0,0,0,44.9,0.5511,0.0,0.551,0.0,0.0,0.001,0.111,HDF,0.551
1849,H31262,H,297.7,307.2,1429,44.1,26,0,0,0,0,0,0,52.8,0.4719,0.0,0.471,0.0,0.0,0.001,0.088,HDF,0.471
1850,L49029,L,297.7,307.2,1668,32.7,31,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.092,none,0.0
1851,M16710,M,297.7,307.2,1372,52.8,33,0,0,0,0,0,0,30.0,0.7003,0.0,0.7,0.0,0.0,0.001,0.145,HDF,0.7
1852,M16711,M,297.7,307.3,1365,49.2,36,0,0,0,0,0,0,33.3,0.667,0.0,0.667,0.0,0.0,0.001,0.148,HDF,0.667
1853,M16712,M,297.6,307.1,1526,39.1,39,0,0,0,0,0,0,98.0,0.0196,0.0,0.019,0.0,0.0,0.001,0.127,HDF,0.019
1854,L49033,L,297.6,307.2,1486,40.6,42,0,0,0,0,0,0,80.4,0.1964,0.0,0.196,0.0,0.0,0.001,0.155,HDF,0.196
1855,M16714,M,297.6,307.2,1470,42.6,44,0,0,0,0,0,0,73.3,0.2674,0.0,0.267,0.0,0.0,0.001,0.156,HDF,0.267
1856,H31269,H,297.7,307.3,1249,62.8,47,0,0,0,0,0,0,33.3,0.667,0.0,0.667,0.0,0.0,0.001,0.227,HDF,0.667
1857,M16716,M,297.8,307.4,1752,26.1,52,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.113,none,0.0
1858,L49037,L,297.7,307.4,1643,36.5,55,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.182,none,0.0
1859,M16718,M,297.8,307.4,1488,36.1,57,0,0,0,0,0,0,81.3,0.1875,0.0,0.187,0.0,0.0,0.001,0.171,HDF,0.187
1860,L49039,L,297.8,307.4,1355,45.8,60,0,0,0,0,0,0,33.3,0.667,0.0,0.667,0.0,0.0,0.001,0.25,HDF,0.667
1861,L49040,L,297.8,307.6,1607,30.3,62,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.171,none,0.0
1862,M16721,M,297.9,307.6,1609,30.3,64,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.162,none,0.0
1863,L49042,L,297.9,307.7,1517,44.4,67,0,0,0,0,0,0,94.7,0.0529,0.0,0.052,0.0,0.0,0.001,0.27,HDF,0.052
1864,M16723,M,297.9,307.7,1517,39.5,69,0,0,0,0,0,0,94.7,0.0529,0.0,0.052,0.0,0.0,0.001,0.227,HDF,0.052
1865,L49044,L,297.9,307.7,1546,37.6,72,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.246,none,0.0
1866,L49045,L,297.9,307.7,1567,34.7,74,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.233,none,0.0
1867,M16726,M,298.1,307.9,1662,28.9,76,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.183,none,0.0
1868,L49047,L,298.1,307.9,1502,41.8,79,0,0,0,0,0,0,88.7,0.1129,0.0,0.112,0.0,0.0,0.001,0.3,HDF,0.112
1869,L49048,L,298.3,308.0,1361,56.9,81,0,0,0,0,0,0,36.6,0.6337,0.0,0.633,0.0,0.0,0.001,0.419,HDF,0.633
1870,M16729,M,298.3,308.1,1630,32.7,83,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.226,none,0.0
1871,L49050,L,298.3,308.0,1486,42.3,86,0,0,0,0,0,0,81.3,0.1866,0.0,0.186,0.0,0.0,0.001,0.331,HDF,0.186
1872,L49051,L,298.3,308.1,1840,21.5,88,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.172,none,0.0
1873,L49052,L,298.3,308.1,1326,58.4,90,0,0,0,0,0,0,40.0,0.6004,0.0,0.6,0.0,0.0,0.001,0.478,HDF,0.6
1874,L49053,L,298.4,308.1,1367,57.8,92,0,0,0,0,0,0,36.6,0.6337,0.0,0.633,0.0,0.0,0.001,0.483,HDF,0.633
1875,L49054,L,298.4,308.1,1598,32.7,94,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.279,none,0.0
1876,L49055,L,298.3,308.0,1363,50.1,96,0,0,0,0,0,0,36.6,0.6337,0.0,0.633,0.0,0.0,0.001,0.437,HDF,0.633
1877,L49056,L,298.3,308.0,1242,62.0,98,0,0,0,0,0,0,32.8,0.6721,0.105,0.633,0.0,0.0,0.001,0.552,HDF,0.633
1878,M16737,M,298.2,307.8,1566,33.8,100,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.282,none,0.0
1879,M16738,M,298.1,307.7,1424,47.7,103,0,0,0,0,0,0,52.8,0.4716,0.0,0.471,0.0,0.0,0.001,0.409,HDF,0.471
1880,M16739,M,298.2,307.7,1608,33.8,106,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.299,none,0.0
1881,L49060,L,298.1,307.7,1705,29.1,109,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.288,none,0.0
1882,L49061,L,298.0,307.6,1548,45.8,111,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.462,none,0.0
1883,M16742,M,298.0,307.6,1581,43.4,113,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.409,none,0.0
1884,M16743,M,298.0,307.6,1472,46.7,116,0,0,0,0,0,0,74.1,0.2585,0.0,0.258,0.0,0.0,0.001,0.451,HDF,0.258
1885,M16744,M,298.0,307.6,1792,26.0,119,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.258,none,0.0
1886,L49065,L,298.0,307.6,1683,32.8,122,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.364,none,0.0
1887,L49066,L,297.9,307.6,1503,40.7,124,0,0,0,0,0,0,88.5,0.1149,0.0,0.114,0.0,0.0,0.001,0.459,HDF,0.114
1888,M16747,M,297.9,307.5,1642,32.4,126,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.34,none,0.0
1889,M16748,M,297.8,307.4,1902,24.3,129,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.261,none,0.0
1890,H31303,H,297.7,307.4,1432,40.2,132,0,0,0,0,0,0,58.6,0.4144,0.0,0.414,0.0,0.0,0.001,0.408,HDF,0.414
1891,L49070,L,297.8,307.4,1512,40.8,137,0,0,0,0,0,0,90.4,0.0959,0.016,0.08,0.0,0.0,0.001,0.508,HDF/OSF,0.08
1892,L49071,L,297.7,307.4,1764,29.0,139,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.366,none,0.0
1893,M16752,M,297.8,307.4,1438,43.6,141,0,0,0,0,0,0,57.6,0.424,0.025,0.409,0.0,0.0,0.001,0.512,HDF,0.409
1894,L49073,L,297.8,307.5,1631,29.9,144,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.391,none,0.0
1895,H31308,H,297.9,307.5,1880,23.3,146,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.262,none,0.0
1896,L49075,L,297.9,307.6,1344,54.3,151,0,0,0,0,0,0,18.7,0.8135,0.491,0.633,0.0,0.0,0.001,0.745,HDF/OSF,0.633
1897,L49076,L,297.9,307.5,1574,35.8,153,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.498,none,0.0
1898,L49077,L,297.8,307.4,1418,41.2,155,0,0,0,0,0,0,42.1,0.5791,0.161,0.498,0.0,0.0,0.001,0.581,HDF,0.498
1899,L49078,L,297.8,307.5,1372,54.1,157,0,0,0,0,0,0,16.7,0.8331,0.544,0.633,0.0,0.0,0.001,0.772,HDF/OSF,0.633
1900,L49079,L,297.8,307.5,1388,40.0,159,0,0,0,0,0,0,33.7,0.6625,0.156,0.6,0.0,0.0,0.001,0.578,HDF,0.6
1901,H31314,H,297.9,307.6,1493,36.0,161,0,0,0,0,0,0,84.3,0.1571,0.0,0.156,0.0,0.0,0.001,0.446,HDF,0.156
1902,M16761,M,297.9,307.6,1505,40.1,166,0,0,0,0,0,0,79.6,0.2042,0.109,0.106,0.0,0.0,0.001,0.555,OSF/HDF,0.109
1903,L49082,L,298.0,307.6,1694,29.1,169,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.447,none,0.0
1904,L49083,L,297.9,307.6,1968,20.4,171,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.317,none,0.0
1905,M16764,M,298.0,307.6,1569,35.6,173,0,0,0,0,0,0,97.3,0.0274,0.026,0.0,0.0,0.0,0.001,0.513,OSF,0.026
1906,L49085,L,297.9,307.6,1687,29.1,176,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.466,none,0.0
1907,L49086,L,297.9,307.6,1430,52.4,178,0,0,0,0,0,0,17.6,0.8244,0.696,0.422,0.0,0.0,0.001,0.848,OSF,0.696
1908,L49087,L,297.9,307.6,1504,42.4,180,0,0,0,0,0,0,54.5,0.4554,0.388,0.11,0.0,0.0,0.001,0.694,OSF,0.388
1909,L49088,L,297.9,307.6,1977,20.2,182,0,0,0,0,0,0,98.6,0.0143,0.0,0.0,0.0,0.013,0.001,0.334,TWF,0.033
1910,L49089,L,298.0,307.7,1435,45.6,184,0,0,0,0,0,0,27.6,0.7237,0.526,0.401,0.0,0.027,0.001,0.763,OSF/HDF,0.526
1911,H31324,H,298.0,307.7,1547,36.8,186,0,0,0,0,0,0,90.8,0.0918,0.053,0.0,0.0,0.04,0.001,0.527,TWF/OSF,0.1
1912,M16771,M,298.1,307.8,1316,57.2,191,0,0,0,0,0,0,6.1,0.9392,0.821,0.633,0.0,0.073,0.001,0.91,OSF,0.821
1913,M16772,M,298.0,307.7,1621,34.9,194,0,0,0,0,0,0,78.9,0.2106,0.128,0.0,0.0,0.093,0.001,0.564,TWF/OSF,0.233
1914,M16773,M,298.0,307.8,1492,40.2,197,0,0,0,0,0,0,51.1,0.4891,0.32,0.152,0.0,0.113,0.001,0.66,OSF/TWF,0.32
1915,L49094,L,298.0,307.7,1643,32.3,200,0,0,0,0,0,0,71.5,0.2853,0.175,0.0,0.0,0.133,0.001,0.587,TWF,0.333
1916,L49095,L,298.0,307.7,1492,38.7,202,0,0,0,0,0,0,41.4,0.5859,0.421,0.16,0.0,0.147,0.001,0.711,OSF/TWF,0.421
1917,L49096,L,298.0,307.7,1387,50.8,204,0,0,0,0,0,0,3.8,0.9615,0.884,0.604,0.0,0.16,0.001,0.942,OSF,0.884
1918,M16777,M,298.1,307.9,1463,47.3,206,0,0,0,0,0,0,22.7,0.7727,0.624,0.268,0.0,0.173,0.001,0.812,OSF,0.624
1919,M16778,M,298.1,307.9,1496,40.0,0,0,0,0,0,0,0,86.3,0.1369,0.0,0.136,0.0,0.0,0.001,0.0,HDF,0.136
1920,L49099,L,298.2,308.0,1658,30.0,3,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.008,none,0.0
1921,L49100,L,298.1,307.9,2161,17.5,5,0,0,0,0,0,0,92.0,0.0804,0.0,0.0,0.08,0.0,0.001,0.008,PWF,0.08
1922,L49101,L,298.1,307.9,1665,32.0,7,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.02,none,0.0
1923,L49102,L,298.0,307.8,1716,26.6,9,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.022,none,0.0
1924,L49103,L,298.0,307.7,1529,34.1,11,0,0,0,0,0,0,99.5,0.0052,0.0,0.004,0.0,0.0,0.001,0.034,none,0.004
1925,L49104,L,297.9,307.7,1353,50.7,13,0,0,0,0,0,0,40.0,0.6004,0.0,0.6,0.0,0.0,0.001,0.06,HDF,0.6
1926,L49105,L,297.9,307.7,1537,37.7,15,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.051,none,0.0
1927,L49106,L,298.0,307.7,1606,30.8,17,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.048,none,0.0
1928,H31341,H,298.0,307.8,1314,47.8,19,0,0,0,0,0,0,40.0,0.6004,0.0,0.6,0.0,0.0,0.001,0.07,HDF,0.6
1929,L49108,L,298.0,307.8,1623,29.9,24,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.065,none,0.0
1930,M16789,M,298.0,307.8,1483,50.9,26,0,0,0,0,0,0,81.1,0.1888,0.0,0.188,0.0,0.0,0.001,0.11,HDF,0.188
1931,M16790,M,298.1,307.9,1569,37.0,29,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.089,none,0.0
1932,M16791,M,298.2,308.0,1969,21.7,32,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.058,none,0.0
1933,M16792,M,298.1,308.0,1686,29.3,35,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.085,none,0.0
1934,L49113,L,298.1,308.0,1638,35.1,38,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.121,none,0.0
1935,L49114,L,298.1,307.9,1698,33.3,40,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.121,none,0.0
1936,M16795,M,298.1,307.9,1377,55.1,42,0,0,0,0,0,0,40.0,0.6004,0.0,0.6,0.0,0.0,0.001,0.193,HDF,0.6
1937,M16796,M,298.1,308.0,2129,18.4,45,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.069,none,0.0
1938,L49117,L,298.2,308.0,1411,42.4,48,0,0,0,0,0,0,52.3,0.4765,0.0,0.476,0.0,0.0,0.001,0.185,HDF,0.476
1939,L49118,L,298.1,307.9,1517,40.8,50,0,0,0,0,0,0,94.7,0.0529,0.0,0.052,0.0,0.0,0.001,0.185,HDF,0.052
1940,M16799,M,298.1,307.9,1303,53.9,52,0,0,0,0,0,0,40.0,0.6004,0.0,0.6,0.0,0.0,0.001,0.234,HDF,0.6
1941,L49120,L,298.1,307.9,1578,35.6,55,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.178,none,0.0
1942,L49121,L,298.1,307.9,1425,58.2,57,0,0,0,0,0,0,36.5,0.6349,0.0,0.42,0.37,0.0,0.001,0.302,HDF/PWF,0.42
1943,L49122,L,298.1,308.0,1456,42.4,59,0,0,0,0,0,0,72.0,0.2803,0.0,0.28,0.0,0.0,0.001,0.227,HDF,0.28
1944,L49123,L,298.1,308.0,1704,30.9,61,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.171,none,0.0
1945,L49124,L,298.1,308.1,1791,27.3,63,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.156,none,0.0
1946,L49125,L,298.1,308.1,1616,32.8,65,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.194,none,0.0
1947,L49126,L,298.2,308.1,1622,34.9,67,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.213,none,0.0
1948,L49127,L,298.2,308.1,1462,49.9,69,0,0,0,0,0,0,74.2,0.2576,0.0,0.257,0.0,0.0,0.001,0.313,HDF,0.257
1949,L49128,L,298.1,308.1,1410,45.8,71,0,0,0,0,0,0,57.3,0.4272,0.0,0.427,0.0,0.0,0.001,0.296,HDF,0.427
1950,M16809,M,298.1,308.0,1543,41.9,73,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.255,none,0.0
1951,M16810,M,298.0,307.9,1479,47.6,76,0,0,0,0,0,0,80.7,0.1935,0.0,0.193,0.0,0.0,0.001,0.301,HDF,0.193
1952,L49131,L,298.0,307.8,1839,22.7,79,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.163,none,0.0
1953,L49132,L,298.0,307.8,1266,60.5,81,0,0,0,0,0,0,40.0,0.6004,0.0,0.6,0.0,0.0,0.001,0.446,HDF,0.6
1954,L49133,L,297.9,307.7,1593,34.9,83,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.263,none,0.0
1955,L49134,L,297.9,307.8,1459,46.9,85,0,0,0,0,0,0,73.1,0.269,0.0,0.268,0.0,0.0,0.001,0.362,HDF,0.268
1956,L49135,L,297.9,307.7,1308,55.2,87,0,0,0,0,0,0,40.0,0.6004,0.0,0.6,0.0,0.0,0.001,0.437,HDF,0.6
1957,M16816,M,297.9,307.7,1364,46.8,89,0,0,0,0,0,0,40.0,0.6004,0.0,0.6,0.0,0.0,0.001,0.347,HDF,0.6
1958,H31371,H,297.9,307.7,1618,35.9,92,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.254,none,0.0
1959,H31372,H,297.9,307.7,1464,43.2,97,0,0,0,0,0,0,73.5,0.2647,0.0,0.264,0.0,0.0,0.001,0.322,HDF,0.264
1960,M16819,M,297.8,307.6,1352,49.4,102,0,0,0,0,0,0,40.0,0.6004,0.0,0.6,0.0,0.0,0.001,0.42,HDF,0.6
1961,L49140,L,297.8,307.6,1446,51.4,105,0,0,0,0,0,0,66.3,0.3367,0.0,0.336,0.0,0.0,0.001,0.491,HDF,0.336
1962,L49141,L,297.8,307.5,1448,51.2,107,0,0,0,0,0,0,65.3,0.3469,0.0,0.346,0.0,0.0,0.001,0.498,HDF,0.346
1963,L49142,L,297.8,307.5,1391,48.6,109,0,0,0,0,0,0,41.3,0.5873,0.0,0.587,0.0,0.0,0.001,0.482,HDF,0.587
1964,L49143,L,297.7,307.5,1379,43.3,111,0,0,0,0,0,0,40.0,0.6004,0.0,0.6,0.0,0.0,0.001,0.437,HDF,0.6
1965,M16824,M,297.8,307.5,1405,46.9,113,0,0,0,0,0,0,47.2,0.5283,0.0,0.528,0.0,0.0,0.001,0.442,HDF,0.528
1966,L49145,L,297.8,307.5,1581,33.1,116,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.349,none,0.0
1967,L49146,L,297.9,307.6,1515,40.5,118,0,0,0,0,0,0,93.6,0.0643,0.0,0.063,0.0,0.0,0.001,0.434,HDF,0.063
1968,L49147,L,297.9,307.6,1589,37.8,120,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.412,none,0.0
1969,L49148,L,298.0,307.6,1281,50.8,122,0,0,0,0,0,0,29.1,0.7092,0.127,0.667,0.0,0.0,0.001,0.563,HDF,0.667
1970,H31383,H,297.8,307.5,1631,31.3,124,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.299,none,0.0
1971,M16830,M,297.9,307.6,1202,67.0,129,0,0,0,0,0,0,20.5,0.7951,0.44,0.633,0.0,0.0,0.001,0.72,HDF,0.633
1972,L49151,L,297.9,307.6,1298,52.7,132,0,0,0,0,0,0,26.9,0.7307,0.265,0.633,0.0,0.0,0.001,0.632,HDF,0.633
1973,L49152,L,297.9,307.6,1612,30.7,134,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.374,none,0.0
1974,L49153,L,297.9,307.6,1747,25.3,136,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.313,none,0.0
1975,L49154,L,298.0,307.6,1450,48.7,138,0,0,0,0,0,0,50.1,0.4991,0.222,0.356,0.0,0.0,0.001,0.611,HDF/OSF,0.356
1976,L49155,L,298.0,307.7,1422,45.6,140,0,0,0,0,0,0,45.6,0.5439,0.161,0.456,0.0,0.0,0.001,0.58,HDF,0.456
1977,M16836,M,298.1,307.7,1419,47.4,142,0,0,0,0,0,0,44.5,0.5555,0.122,0.493,0.0,0.0,0.001,0.561,HDF,0.493
1978,M16837,M,298.1,307.7,1633,30.7,145,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.371,none,0.0
1979,L49158,L,298.0,307.7,1442,43.6,148,0,0,0,0,0,0,51.9,0.4809,0.173,0.372,0.0,0.0,0.001,0.587,HDF,0.372
1980,H31393,H,298.0,307.6,1420,45.8,150,0,0,0,0,0,0,48.2,0.5185,0.057,0.489,0.0,0.0,0.001,0.528,HDF,0.489
1981,M16840,M,298.0,307.6,1301,58.5,155,0,0,0,0,0,0,16.3,0.8372,0.511,0.667,0.0,0.0,0.001,0.756,HDF,0.667
1982,L49161,L,298.0,307.6,1385,45.0,158,0,0,0,0,0,0,25.1,0.7488,0.293,0.644,0.0,0.0,0.001,0.646,HDF,0.644
1983,M16842,M,298.0,307.7,1487,41.3,160,0,0,0,0,0,0,73.5,0.2652,0.101,0.182,0.0,0.0,0.001,0.551,HDF/OSF,0.182
1984,M16843,M,298.0,307.6,1459,44.4,163,0,0,0,0,0,0,54.3,0.4572,0.206,0.316,0.0,0.0,0.001,0.603,HDF/OSF,0.316
1985,M16844,M,298.0,307.5,1387,45.5,166,0,0,0,0,0,0,24.6,0.7537,0.259,0.667,0.0,0.0,0.001,0.629,HDF,0.667
1986,L49165,L,298.1,307.7,1537,40.8,169,0,0,0,0,0,0,74.6,0.2544,0.254,0.0,0.0,0.0,0.001,0.627,OSF,0.254
1987,L49166,L,298.1,307.6,1498,42.9,171,0,0,0,0,0,0,56.6,0.4339,0.334,0.149,0.0,0.0,0.001,0.667,OSF,0.334
1988,M16847,M,298.2,307.8,1599,31.2,173,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.45,none,0.0
1989,H31402,H,298.3,307.9,1420,39.2,176,0,0,0,0,0,0,47.9,0.5208,0.061,0.489,0.0,0.0,0.001,0.531,HDF,0.489
1990,L49169,L,298.2,307.9,1785,23.4,181,0,0,0,0,0,0,99.2,0.0077,0.0,0.0,0.0,0.007,0.001,0.385,TWF,0.017
1991,L49170,L,298.2,307.8,1423,48.1,183,0,0,0,0,0,0,20.5,0.7948,0.6,0.476,0.0,0.02,0.001,0.8,OSF/HDF,0.6
1992,M16851,M,298.2,307.8,1583,36.6,185,0,0,0,0,0,0,84.2,0.1584,0.129,0.0,0.0,0.033,0.001,0.564,OSF/TWF,0.129
1993,L49172,L,298.2,307.8,1375,46.6,188,0,0,0,0,0,0,12.8,0.8717,0.593,0.667,0.0,0.053,0.001,0.796,HDF/OSF,0.667
1994,M16853,M,298.3,308.0,1463,42.5,190,0,0,0,0,0,0,43.7,0.5626,0.346,0.283,0.0,0.067,0.001,0.673,OSF/HDF,0.346
1995,M16854,M,298.2,307.9,1403,45.1,193,0,0,0,0,0,0,23.2,0.7676,0.451,0.536,0.0,0.087,0.001,0.725,HDF/OSF,0.536
1996,L49175,L,298.3,308.0,1451,47.1,196,0,0,0,0,0,0,19.1,0.8088,0.678,0.334,0.0,0.107,0.001,0.839,OSF,0.678
1997,M16856,M,298.4,308.0,1416,38.2,198,1,1,0,0,0,0,32.1,0.6793,0.261,0.507,0.0,0.12,0.001,0.63,HDF,0.507
1998,L49177,L,298.3,308.1,1672,41.3,0,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.0,none,0.0
1999,H31412,H,298.3,308.0,1637,30.8,2,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.005,none,0.0
2000,L49179,L,298.4,308.0,1540,37.8,7,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.024,none,0.0
2001,L49180,L,298.4,308.1,1279,53.1,9,0,0,0,0,0,0,36.6,0.6337,0.0,0.633,0.0,0.0,0.001,0.043,HDF,0.633
2002,L49181,L,298.4,308.2,1604,34.9,11,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.035,none,0.0
2003,L49182,L,298.5,308.2,1654,27.1,13,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.032,none,0.0
2004,M16863,M,298.5,308.2,1564,37.5,15,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.047,none,0.0
